Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK
Datetime,,,,,,,,,,
2025-10-08 02:00:00+00:00,7500.0,3720.0,7525.0,3740.0,7500.0,3720.0,7525.0,3730.0,1985800,8240500
2025-10-08 02:05:00+00:00,7500.0,3720.0,7525.0,3730.0,7500.0,3710.0,7525.0,3720.0,1430800,3664400
2025-10-08 02:10:00+00:00,7525.0,3710.0,7525.0,3720.0,7500.0,3710.0,7525.0,3710.0,1387900,2191900
2025-10-08 02:15:00+00:00,7500.0,3710.0,7525.0,3720.0,7500.0,3700.0,7525.0,3720.0,1124700,5591500
2025-10-08 02:20:00+00:00,7500.0,3700.0,7525.0,3710.0,7475.0,3700.0,7500.0,3700.0,6997700,621700
2025-10-08 02:25:00+00:00,7475.0,3690.0,7500.0,3710.0,7475.0,3690.0,7475.0,3700.0,775500,7572700
2025-10-08 02:30:00+00:00,7450.0,3690.0,7500.0,3700.0,7450.0,3680.0,7500.0,3700.0,3847200,9252600
2025-10-08 02:35:00+00:00,7475.0,3690.0,7475.0,3690.0,7450.0,3670.0,7450.0,3690.0,654500,4080100
2025-10-08 02:40:00+00:00,7475.0,3680.0,7475.0,3690.0,7450.0,3670.0,7475.0,3680.0,2049800,3083300
2025-10-08 02:45:00+00:00,7450.0,3680.0,7475.0,3690.0,7450.0,3670.0,7475.0,3680.0,1330200,2883900
2025-10-08 02:50:00+00:00,7425.0,3680.0,7475.0,3690.0,7425.0,3680.0,7475.0,3680.0,9150500,2543100
2025-10-08 02:55:00+00:00,7450.0,3700.0,7475.0,3700.0,7425.0,3680.0,7425.0,3680.0,2288300,2469800
2025-10-08 03:00:00+00:00,7450.0,3690.0,7475.0,3700.0,7450.0,3690.0,7450.0,3700.0,1322100,621100
2025-10-08 03:05:00+00:00,7450.0,3690.0,7475.0,3700.0,7450.0,3680.0,7450.0,3690.0,1250700,1858000
2025-10-08 03:10:00+00:00,7450.0,3690.0,7475.0,3690.0,7450.0,3680.0,7475.0,3690.0,945900,874300
2025-10-08 03:15:00+00:00,7475.0,3700.0,7475.0,3700.0,7450.0,3680.0,7450.0,3690.0,576900,1285000
2025-10-08 03:20:00+00:00,7450.0,3700.0,7475.0,3700.0,7450.0,3690.0,7450.0,3690.0,507900,357500
2025-10-08 03:25:00+00:00,7475.0,3690.0,7475.0,3700.0,7450.0,3680.0,7475.0,3700.0,393000,1619100
2025-10-08 03:30:00+00:00,7450.0,3690.0,7475.0,3690.0,7450.0,3680.0,7475.0,3690.0,609300,655400
2025-10-08 03:35:00+00:00,7450.0,3690.0,7475.0,3690.0,7450.0,3680.0,7450.0,3680.0,663800,598000
2025-10-08 03:40:00+00:00,7450.0,3690.0,7475.0,3690.0,7450.0,3680.0,7450.0,3690.0,1020800,343300
2025-10-08 03:45:00+00:00,7450.0,3690.0,7475.0,3690.0,7450.0,3680.0,7450.0,3690.0,396800,513800
2025-10-08 03:50:00+00:00,7475.0,3680.0,7475.0,3690.0,7450.0,3680.0,7475.0,3690.0,4356200,539700
2025-10-08 03:55:00+00:00,7475.0,3680.0,7475.0,3690.0,7450.0,3680.0,7475.0,3680.0,1207400,928200
2025-10-08 04:00:00+00:00,7450.0,3680.0,7475.0,3690.0,7425.0,3680.0,7450.0,3690.0,3808900,2128000
2025-10-08 04:05:00+00:00,7450.0,3690.0,7450.0,3690.0,7425.0,3680.0,7450.0,3680.0,396000,403000
2025-10-08 04:10:00+00:00,7450.0,3680.0,7450.0,3690.0,7425.0,3680.0,7450.0,3690.0,437600,1035800
2025-10-08 04:15:00+00:00,7450.0,3690.0,7450.0,3690.0,7425.0,3680.0,7450.0,3680.0,642100,478300
2025-10-08 04:20:00+00:00,7425.0,3690.0,7450.0,3690.0,7400.0,3680.0,7450.0,3680.0,11452000,1039000
