Datetime,Adj Close_BBCA-JK,Adj Close_TLKM-JK,Adj Close_UNVR-JK,Close_BBCA-JK,Close_TLKM-JK,Close_UNVR-JK,High_BBCA-JK,High_TLKM-JK,High_UNVR-JK,Low_BBCA-JK,Low_TLKM-JK,Low_UNVR-JK,Open_BBCA-JK,Open_TLKM-JK,Open_UNVR-JK,Volume_BBCA-JK,Volume_TLKM-JK,Volume_UNVR-JK
2024-12-06 08:47:00+00:00,10075.0,2740.0,1860.0,10075.0,2740.0,1860.0,10100.0,2750.0,1860.0,10075.0,2740.0,1860.0,10100.0,2740.0,1860.0,142500.0,378700.0,500.0
2024-12-06 08:48:00+00:00,10100.0,2750.0,1860.0,10100.0,2750.0,1860.0,10100.0,2750.0,1865.0,10075.0,2740.0,1860.0,10100.0,2740.0,1860.0,309200.0,1115300.0,4400.0
2024-12-06 08:49:00+00:00,10100.0,2760.0,1865.0,10100.0,2760.0,1865.0,10100.0,2760.0,1865.0,10075.0,2740.0,1860.0,10075.0,2750.0,1860.0,756700.0,1366100.0,79700.0
2024-12-06 09:00:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,12947800.0,8576300.0,262600.0
2024-12-06 09:01:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,77700.0,1294900.0,200.0
2024-12-06 09:02:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,0.0,0.0,5900.0
2024-12-06 09:03:00+00:00,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10000.0,13700.0,0.0
2024-12-06 09:04:00+00:00,0.0,2760.0,1870.0,0.0,2760.0,1870.0,0.0,2760.0,1870.0,0.0,2760.0,1870.0,0.0,2760.0,1870.0,0.0,45900.0,0.0
2024-12-06 09:05:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,3300.0,200.0,200.0
2024-12-06 09:06:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,0.0,700.0,100.0
2024-12-06 09:07:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,3900.0,13000.0,2000.0
2024-12-06 09:08:00+00:00,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,200.0,0.0,0.0
2024-12-06 09:09:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,1400.0,3100.0,1300.0
2024-12-06 09:10:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,700.0,50100.0,37400.0
2024-12-06 09:11:00+00:00,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,10075.0,2760.0,0.0,3700.0,0.0,0.0
2024-12-06 09:12:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,158400.0,1600.0,0.0
2024-12-06 09:13:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,0.0,13000.0,8100.0
2024-12-06 09:14:00+00:00,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,10075.0,2760.0,1870.0,54400.0,1500.0,800.0
